datetime,signal_vrp_z,signal_skew_z,signal_concavity_z,composite_score,dte,entry_iv,spx_close,tp_pct,kelly_fraction
2019-01-17,0.0,0.0,0.0,50.0,29,0.1551,2615.99,50,0.015
2019-01-18,0.0,0.0,0.0,50.0,28,0.1455,2651.23,50,0.015
2019-01-22,0.0,0.0,0.0,50.0,28,0.1589,2642.28,50,0.015
2019-01-23,0.0,0.0,0.0,50.0,27,0.1692,2648.92,50,0.015
2019-01-24,0.0,0.0,0.0,50.0,26,0.1646,2642.48,50,0.015
2019-01-25,0.0,0.0,0.0,50.0,25,0.1517,2667.79,50,0.015
2019-01-28,0.0,0.0,0.0,50.0,25,0.1775,2630.49,50,0.015
2019-01-29,0.0,0.0,0.0,50.0,45,0.1764,2641.54,50,0.015
2019-01-30,0.0,0.0,0.0,50.0,44,0.174,2652.03,50,0.015
2019-01-31,0.0,0.0,0.0,50.0,43,0.158,2691.0,50,0.015
2019-02-01,0.0,0.0,0.0,50.0,42,0.1508,2712.46,50,0.015
2019-02-04,0.0,0.0,0.0,50.0,39,0.1484,2705.32,50,0.015
2019-02-05,0.0,0.0,0.0,50.0,38,0.1413,2731.87,50,0.015
2019-02-06,0.0,0.0,0.0,50.0,37,0.1444,2725.7,50,0.015
2019-02-07,0.0,0.0,0.0,50.0,36,0.1477,2712.75,50,0.015
2019-02-08,0.0,0.0,0.0,50.0,35,0.1566,2687.28,50,0.015
2019-02-11,0.0,0.0,0.0,50.0,32,0.1458,2710.58,50,0.015
2019-02-12,0.0,0.0,0.0,50.0,31,0.1388,2732.74,50,0.015
2019-02-13,0.0,0.0,0.0,50.0,30,0.1382,2755.7,50,0.015
2019-02-14,0.0,0.0,0.0,50.0,29,0.1431,2742.47,50,0.015
2019-02-15,0.0,0.0,0.0,50.0,28,0.136,2767.08,50,0.015
2019-02-19,0.0,0.0,0.0,50.0,27,0.1315,2777.5,50,0.015
2019-02-20,0.0,0.0,0.0,50.0,26,0.1265,2779.01,50,0.015
